2022-06-07 12:12:20,778 [TRAIN] Iteration 0 | loss 1.707965 | accuracy 25.000000
0607 12:12:20 PM [TRAIN] Iteration 0 | loss 1.707965 | accuracy 25.000000
2022-06-07 12:12:20,810 [TRAIN] Iteration 1 | loss 1.731879 | accuracy 20.000000
0607 12:12:20 PM [TRAIN] Iteration 1 | loss 1.731879 | accuracy 20.000000
2022-06-07 12:12:20,844 [TRAIN] Iteration 2 | loss 1.721566 | accuracy 15.000000
0607 12:12:20 PM [TRAIN] Iteration 2 | loss 1.721566 | accuracy 15.000000
2022-06-07 12:12:20,875 [TRAIN] Iteration 3 | loss 1.698632 | accuracy 17.500000
0607 12:12:20 PM [TRAIN] Iteration 3 | loss 1.698632 | accuracy 17.500000
2022-06-07 12:12:20,907 [TRAIN] Iteration 4 | loss 1.696163 | accuracy 19.000000
0607 12:12:20 PM [TRAIN] Iteration 4 | loss 1.696163 | accuracy 19.000000
2022-06-07 12:12:20,939 [TRAIN] Iteration 5 | loss 1.684666 | accuracy 19.166667
0607 12:12:20 PM [TRAIN] Iteration 5 | loss 1.684666 | accuracy 19.166667
2022-06-07 12:12:20,969 [TRAIN] Iteration 6 | loss 1.697214 | accuracy 17.857143
0607 12:12:20 PM [TRAIN] Iteration 6 | loss 1.697214 | accuracy 17.857143
2022-06-07 12:12:21,000 [TRAIN] Iteration 7 | loss 1.693908 | accuracy 16.875000
0607 12:12:21 PM [TRAIN] Iteration 7 | loss 1.693908 | accuracy 16.875000
2022-06-07 12:12:21,035 [TRAIN] Iteration 8 | loss 1.691127 | accuracy 16.666667
0607 12:12:21 PM [TRAIN] Iteration 8 | loss 1.691127 | accuracy 16.666667
2022-06-07 12:12:21,067 [TRAIN] Iteration 9 | loss 1.680118 | accuracy 17.500000
0607 12:12:21 PM [TRAIN] Iteration 9 | loss 1.680118 | accuracy 17.500000
2022-06-07 12:12:21,100 [TRAIN] Iteration 10 | loss 1.677261 | accuracy 18.181818
0607 12:12:21 PM [TRAIN] Iteration 10 | loss 1.677261 | accuracy 18.181818
2022-06-07 12:12:21,131 [TRAIN] Iteration 11 | loss 1.673493 | accuracy 18.333334
0607 12:12:21 PM [TRAIN] Iteration 11 | loss 1.673493 | accuracy 18.333334
2022-06-07 12:12:21,162 [TRAIN] Iteration 12 | loss 1.666104 | accuracy 19.230769
0607 12:12:21 PM [TRAIN] Iteration 12 | loss 1.666104 | accuracy 19.230769
2022-06-07 12:12:21,193 [TRAIN] Iteration 13 | loss 1.660420 | accuracy 19.285715
0607 12:12:21 PM [TRAIN] Iteration 13 | loss 1.660420 | accuracy 19.285715
2022-06-07 12:12:21,224 [TRAIN] Iteration 14 | loss 1.655076 | accuracy 20.000000
0607 12:12:21 PM [TRAIN] Iteration 14 | loss 1.655076 | accuracy 20.000000
2022-06-07 12:12:21,257 [TRAIN] Iteration 15 | loss 1.656980 | accuracy 20.312500
0607 12:12:21 PM [TRAIN] Iteration 15 | loss 1.656980 | accuracy 20.312500
2022-06-07 12:12:21,288 [TRAIN] Iteration 16 | loss 1.660647 | accuracy 20.294118
0607 12:12:21 PM [TRAIN] Iteration 16 | loss 1.660647 | accuracy 20.294118
2022-06-07 12:12:21,319 [TRAIN] Iteration 17 | loss 1.663014 | accuracy 20.555556
0607 12:12:21 PM [TRAIN] Iteration 17 | loss 1.663014 | accuracy 20.555556
2022-06-07 12:12:21,350 [TRAIN] Iteration 18 | loss 1.665601 | accuracy 20.789474
0607 12:12:21 PM [TRAIN] Iteration 18 | loss 1.665601 | accuracy 20.789474
2022-06-07 12:12:21,381 [TRAIN] Iteration 19 | loss 1.664933 | accuracy 20.750000
0607 12:12:21 PM [TRAIN] Iteration 19 | loss 1.664933 | accuracy 20.750000
2022-06-07 12:12:21,413 [TRAIN] Iteration 20 | loss 1.669704 | accuracy 20.476191
0607 12:12:21 PM [TRAIN] Iteration 20 | loss 1.669704 | accuracy 20.476191
2022-06-07 12:12:21,447 [TRAIN] Iteration 21 | loss 1.670445 | accuracy 20.681818
0607 12:12:21 PM [TRAIN] Iteration 21 | loss 1.670445 | accuracy 20.681818
2022-06-07 12:12:21,478 [TRAIN] Iteration 22 | loss 1.668205 | accuracy 20.869565
0607 12:12:21 PM [TRAIN] Iteration 22 | loss 1.668205 | accuracy 20.869565
2022-06-07 12:12:21,513 [TRAIN] Iteration 23 | loss 1.665896 | accuracy 21.250000
0607 12:12:21 PM [TRAIN] Iteration 23 | loss 1.665896 | accuracy 21.250000
2022-06-07 12:12:21,544 [TRAIN] Iteration 24 | loss 1.667314 | accuracy 20.800000
0607 12:12:21 PM [TRAIN] Iteration 24 | loss 1.667314 | accuracy 20.800000
2022-06-07 12:12:21,574 [TRAIN] Iteration 25 | loss 1.668400 | accuracy 20.384616
0607 12:12:21 PM [TRAIN] Iteration 25 | loss 1.668400 | accuracy 20.384616
2022-06-07 12:12:21,608 [TRAIN] Iteration 26 | loss 1.667684 | accuracy 20.740741
0607 12:12:21 PM [TRAIN] Iteration 26 | loss 1.667684 | accuracy 20.740741
2022-06-07 12:12:21,642 [TRAIN] Iteration 27 | loss 1.670066 | accuracy 20.357143
0607 12:12:21 PM [TRAIN] Iteration 27 | loss 1.670066 | accuracy 20.357143
2022-06-07 12:12:21,675 [TRAIN] Iteration 28 | loss 1.675292 | accuracy 19.827587
0607 12:12:21 PM [TRAIN] Iteration 28 | loss 1.675292 | accuracy 19.827587
2022-06-07 12:12:21,709 [TRAIN] Iteration 29 | loss 1.675327 | accuracy 19.833334
0607 12:12:21 PM [TRAIN] Iteration 29 | loss 1.675327 | accuracy 19.833334
2022-06-07 12:12:21,740 [TRAIN] Iteration 30 | loss 1.674911 | accuracy 20.322581
0607 12:12:21 PM [TRAIN] Iteration 30 | loss 1.674911 | accuracy 20.322581
2022-06-07 12:12:21,771 [TRAIN] Iteration 31 | loss 1.675802 | accuracy 20.156250
0607 12:12:21 PM [TRAIN] Iteration 31 | loss 1.675802 | accuracy 20.156250
2022-06-07 12:12:21,804 [TRAIN] Iteration 32 | loss 1.676988 | accuracy 20.000000
0607 12:12:21 PM [TRAIN] Iteration 32 | loss 1.676988 | accuracy 20.000000
2022-06-07 12:12:21,839 [TRAIN] Iteration 33 | loss 1.676133 | accuracy 20.000000
0607 12:12:21 PM [TRAIN] Iteration 33 | loss 1.676133 | accuracy 20.000000
2022-06-07 12:12:21,872 [TRAIN] Iteration 34 | loss 1.676424 | accuracy 19.714286
0607 12:12:21 PM [TRAIN] Iteration 34 | loss 1.676424 | accuracy 19.714286
2022-06-07 12:12:21,906 [TRAIN] Iteration 35 | loss 1.672883 | accuracy 20.000000
0607 12:12:21 PM [TRAIN] Iteration 35 | loss 1.672883 | accuracy 20.000000
2022-06-07 12:12:21,937 [TRAIN] Iteration 36 | loss 1.674758 | accuracy 19.864865
0607 12:12:21 PM [TRAIN] Iteration 36 | loss 1.674758 | accuracy 19.864865
2022-06-07 12:12:21,968 [TRAIN] Iteration 37 | loss 1.672406 | accuracy 19.868421
0607 12:12:21 PM [TRAIN] Iteration 37 | loss 1.672406 | accuracy 19.868421
2022-06-07 12:12:21,999 [TRAIN] Iteration 38 | loss 1.672439 | accuracy 20.000000
0607 12:12:21 PM [TRAIN] Iteration 38 | loss 1.672439 | accuracy 20.000000
2022-06-07 12:12:22,029 [TRAIN] Iteration 39 | loss 1.673195 | accuracy 20.000000
0607 12:12:22 PM [TRAIN] Iteration 39 | loss 1.673195 | accuracy 20.000000
2022-06-07 12:12:22,060 [TRAIN] Iteration 40 | loss 1.670835 | accuracy 20.487805
0607 12:12:22 PM [TRAIN] Iteration 40 | loss 1.670835 | accuracy 20.487805
2022-06-07 12:12:22,090 [TRAIN] Iteration 41 | loss 1.672361 | accuracy 20.238096
0607 12:12:22 PM [TRAIN] Iteration 41 | loss 1.672361 | accuracy 20.238096
2022-06-07 12:12:22,120 [TRAIN] Iteration 42 | loss 1.669531 | accuracy 20.232559
0607 12:12:22 PM [TRAIN] Iteration 42 | loss 1.669531 | accuracy 20.232559
2022-06-07 12:12:22,151 [TRAIN] Iteration 43 | loss 1.668318 | accuracy 20.227273
0607 12:12:22 PM [TRAIN] Iteration 43 | loss 1.668318 | accuracy 20.227273
2022-06-07 12:12:22,185 [TRAIN] Iteration 44 | loss 1.667294 | accuracy 20.111112
0607 12:12:22 PM [TRAIN] Iteration 44 | loss 1.667294 | accuracy 20.111112
2022-06-07 12:12:22,220 [TRAIN] Iteration 45 | loss 1.667769 | accuracy 19.891305
0607 12:12:22 PM [TRAIN] Iteration 45 | loss 1.667769 | accuracy 19.891305
2022-06-07 12:12:22,253 [TRAIN] Iteration 46 | loss 1.668761 | accuracy 19.680851
0607 12:12:22 PM [TRAIN] Iteration 46 | loss 1.668761 | accuracy 19.680851
2022-06-07 12:12:22,286 [TRAIN] Iteration 47 | loss 1.667252 | accuracy 20.000000
0607 12:12:22 PM [TRAIN] Iteration 47 | loss 1.667252 | accuracy 20.000000
2022-06-07 12:12:22,319 [TRAIN] Iteration 48 | loss 1.667226 | accuracy 20.000000
0607 12:12:22 PM [TRAIN] Iteration 48 | loss 1.667226 | accuracy 20.000000
2022-06-07 12:12:22,350 [TRAIN] Iteration 49 | loss 1.665223 | accuracy 20.200000
0607 12:12:22 PM [TRAIN] Iteration 49 | loss 1.665223 | accuracy 20.200000
2022-06-07 12:12:22,381 [TRAIN] Iteration 50 | loss 1.666296 | accuracy 20.196079
0607 12:12:22 PM [TRAIN] Iteration 50 | loss 1.666296 | accuracy 20.196079
2022-06-07 12:12:22,414 [TRAIN] Iteration 51 | loss 1.666458 | accuracy 20.288462
0607 12:12:22 PM [TRAIN] Iteration 51 | loss 1.666458 | accuracy 20.288462
2022-06-07 12:12:22,446 [TRAIN] Iteration 52 | loss 1.665573 | accuracy 20.471699
0607 12:12:22 PM [TRAIN] Iteration 52 | loss 1.665573 | accuracy 20.471699
2022-06-07 12:12:22,476 [TRAIN] Iteration 53 | loss 1.664861 | accuracy 20.370371
0607 12:12:22 PM [TRAIN] Iteration 53 | loss 1.664861 | accuracy 20.370371
2022-06-07 12:12:22,508 [TRAIN] Iteration 54 | loss 1.664049 | accuracy 20.363637
0607 12:12:22 PM [TRAIN] Iteration 54 | loss 1.664049 | accuracy 20.363637
2022-06-07 12:12:22,539 [TRAIN] Iteration 55 | loss 1.663544 | accuracy 20.267858
0607 12:12:22 PM [TRAIN] Iteration 55 | loss 1.663544 | accuracy 20.267858
2022-06-07 12:12:22,570 [TRAIN] Iteration 56 | loss 1.664312 | accuracy 20.263158
0607 12:12:22 PM [TRAIN] Iteration 56 | loss 1.664312 | accuracy 20.263158
2022-06-07 12:12:22,603 [TRAIN] Iteration 57 | loss 1.662631 | accuracy 20.344828
0607 12:12:22 PM [TRAIN] Iteration 57 | loss 1.662631 | accuracy 20.344828
2022-06-07 12:12:22,638 [TRAIN] Iteration 58 | loss 1.660173 | accuracy 20.508475
