Namespace(K=5, N=5, active_random=0, batch_size=40, batch_size_test=10, cuda=True, dataset='miniImagenet', dataset_root='pretrain', dec_lr=10000, decay_interval=10000, exp_name='minimagenet_N5_S5', iterations=90000, log_interval=20, lr=0.001, metric_network='gnn_iclr_nl', mode='train', momentum=0.5, save_interval=10000, seed=1, test_N_shots=5, test_N_way=5, test_interval=2000, test_samples=10000, train_N_shots=5, train_N_way=5, unlabeled_extra=0)
Batch size: 40
Initiallize new Network Weights for enc_nn
Initiallize new Network Weights for metric_nn
EmbeddingImagenet(
  (conv1): Conv2D(3, 64, kernel_size=[3, 3], padding=1, data_format=NCHW)
  (bn1): BatchNorm2D(num_features=64, momentum=0.9, epsilon=1e-05)
  (conv2): Conv2D(64, 96, kernel_size=[3, 3], data_format=NCHW)
  (bn2): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
  (conv3): Conv2D(96, 128, kernel_size=[3, 3], padding=1, data_format=NCHW)
  (bn3): BatchNorm2D(num_features=128, momentum=0.9, epsilon=1e-05)
  (drop_3): Dropout2D(p=0.4, data_format=NCHW)
  (conv4): Conv2D(128, 256, kernel_size=[3, 3], padding=1, data_format=NCHW)
  (bn4): BatchNorm2D(num_features=256, momentum=0.9, epsilon=1e-05)
  (drop_4): Dropout2D(p=0.5, data_format=NCHW)
  (fc1): Linear(in_features=6400, out_features=128, dtype=float32)
  (bn_fc): BatchNorm1D(num_features=128, momentum=0.9, epsilon=1e-05, data_format=NCL)
)
MetricNN(
  (gnn_obj): GNN_nl(
    (layers): LayerDict(
      (layer_w0): Wcompute(
        (conv2d_1): Conv2D(133, 192, kernel_size=[1, 1], data_format=NCHW)
        (bn_1): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
        (conv2d_2): Conv2D(192, 192, kernel_size=[1, 1], data_format=NCHW)
        (bn_2): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
        (conv2d_3): Conv2D(192, 96, kernel_size=[1, 1], data_format=NCHW)
        (bn_3): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
        (conv2d_4): Conv2D(96, 96, kernel_size=[1, 1], data_format=NCHW)
        (bn_4): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
        (conv2d_last): Conv2D(96, 1, kernel_size=[1, 1], data_format=NCHW)
      )
      (layer_l0): Gconv(
        (fc): Linear(in_features=266, out_features=48, dtype=float32)
        (bn): BatchNorm1D(num_features=48, momentum=0.9, epsilon=1e-05, data_format=NCL)
      )
      (layer_w1): Wcompute(
        (conv2d_1): Conv2D(181, 192, kernel_size=[1, 1], data_format=NCHW)
        (bn_1): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
        (conv2d_2): Conv2D(192, 192, kernel_size=[1, 1], data_format=NCHW)
        (bn_2): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
        (conv2d_3): Conv2D(192, 96, kernel_size=[1, 1], data_format=NCHW)
        (bn_3): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
        (conv2d_4): Conv2D(96, 96, kernel_size=[1, 1], data_format=NCHW)
        (bn_4): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
        (conv2d_last): Conv2D(96, 1, kernel_size=[1, 1], data_format=NCHW)
      )
      (layer_l1): Gconv(
        (fc): Linear(in_features=362, out_features=48, dtype=float32)
        (bn): BatchNorm1D(num_features=48, momentum=0.9, epsilon=1e-05, data_format=NCL)
      )
    )
    (w_comp_last): Wcompute(
      (conv2d_1): Conv2D(229, 192, kernel_size=[1, 1], data_format=NCHW)
      (bn_1): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
      (conv2d_2): Conv2D(192, 192, kernel_size=[1, 1], data_format=NCHW)
      (bn_2): BatchNorm2D(num_features=192, momentum=0.9, epsilon=1e-05)
      (conv2d_3): Conv2D(192, 96, kernel_size=[1, 1], data_format=NCHW)
      (bn_3): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
      (conv2d_4): Conv2D(96, 96, kernel_size=[1, 1], data_format=NCHW)
      (bn_4): BatchNorm2D(num_features=96, momentum=0.9, epsilon=1e-05)
      (conv2d_last): Conv2D(96, 1, kernel_size=[1, 1], data_format=NCHW)
    )
    (layer_last): Gconv(
      (fc): Linear(in_features=458, out_features=5, dtype=float32)
    )
  )
)
Train Iter: 0	Loss_d_metric: 2.222953
Train Iter: 20	Loss_d_metric: 2.055240

**** TESTING WITH val ***
115 correct from 500 	Accuracy: 23.000%)
*** TEST FINISHED ***

Best test accuracy 23.0000 

Train Iter: 40	Loss_d_metric: 1.898597
Train Iter: 60	Loss_d_metric: 1.767488
Train Iter: 80	Loss_d_metric: 1.757315
Train Iter: 100	Loss_d_metric: 1.689311
Train Iter: 120	Loss_d_metric: 1.710782
Train Iter: 140	Loss_d_metric: 1.672820
Train Iter: 160	Loss_d_metric: 1.668981
Train Iter: 180	Loss_d_metric: 1.667925
Train Iter: 200	Loss_d_metric: 1.676965
Train Iter: 220	Loss_d_metric: 1.667895
Train Iter: 240	Loss_d_metric: 1.666138
Train Iter: 260	Loss_d_metric: 1.665213
Train Iter: 280	Loss_d_metric: 1.638150
Train Iter: 300	Loss_d_metric: 1.667726
Train Iter: 320	Loss_d_metric: 1.645115
Train Iter: 340	Loss_d_metric: 1.646925
Train Iter: 360	Loss_d_metric: 1.655958
Train Iter: 380	Loss_d_metric: 1.656177
Train Iter: 400	Loss_d_metric: 1.678994
Train Iter: 420	Loss_d_metric: 1.644960
Train Iter: 440	Loss_d_metric: 1.646072
Train Iter: 460	Loss_d_metric: 1.644263
Train Iter: 480	Loss_d_metric: 1.657789
Train Iter: 500	Loss_d_metric: 1.636737
Train Iter: 520	Loss_d_metric: 1.645976
Train Iter: 540	Loss_d_metric: 1.638534
Train Iter: 560	Loss_d_metric: 1.648144
Train Iter: 580	Loss_d_metric: 1.641272
Train Iter: 600	Loss_d_metric: 1.630346
Train Iter: 620	Loss_d_metric: 1.645832
Train Iter: 640	Loss_d_metric: 1.638363
Train Iter: 660	Loss_d_metric: 1.643457
Train Iter: 680	Loss_d_metric: 1.623112
Train Iter: 700	Loss_d_metric: 1.628410
Train Iter: 720	Loss_d_metric: 1.632401
Train Iter: 740	Loss_d_metric: 1.613108
Train Iter: 760	Loss_d_metric: 1.629988
Train Iter: 780	Loss_d_metric: 1.627424
Train Iter: 800	Loss_d_metric: 1.633339
Train Iter: 820	Loss_d_metric: 1.630571
Train Iter: 840	Loss_d_metric: 1.638569
Train Iter: 860	Loss_d_metric: 1.635123
Train Iter: 880	Loss_d_metric: 1.630999
Train Iter: 900	Loss_d_metric: 1.632311
Train Iter: 920	Loss_d_metric: 1.626333
Train Iter: 940	Loss_d_metric: 1.627458
Train Iter: 960	Loss_d_metric: 1.616355
Train Iter: 980	Loss_d_metric: 1.611427
Train Iter: 1000	Loss_d_metric: 1.615619
Train Iter: 1020	Loss_d_metric: 1.614901
Train Iter: 1040	Loss_d_metric: 1.614231
Train Iter: 1060	Loss_d_metric: 1.599156
Train Iter: 1080	Loss_d_metric: 1.629760
Train Iter: 1100	Loss_d_metric: 1.614953
Train Iter: 1120	Loss_d_metric: 1.609007
Train Iter: 1140	Loss_d_metric: 1.619132
Train Iter: 1160	Loss_d_metric: 1.600817
Train Iter: 1180	Loss_d_metric: 1.602425
Train Iter: 1200	Loss_d_metric: 1.596157
Train Iter: 1220	Loss_d_metric: 1.589769
Train Iter: 1240	Loss_d_metric: 1.556853
Train Iter: 1260	Loss_d_metric: 1.580669
Train Iter: 1280	Loss_d_metric: 1.589821
Train Iter: 1300	Loss_d_metric: 1.588373
Train Iter: 1320	Loss_d_metric: 1.594050
Train Iter: 1340	Loss_d_metric: 1.581194
Train Iter: 1360	Loss_d_metric: 1.582760
Train Iter: 1380	Loss_d_metric: 1.586304
Train Iter: 1400	Loss_d_metric: 1.586563
Train Iter: 1420	Loss_d_metric: 1.567558
Train Iter: 1440	Loss_d_metric: 1.572320
Train Iter: 1460	Loss_d_metric: 1.557213
Train Iter: 1480	Loss_d_metric: 1.567719
Train Iter: 1500	Loss_d_metric: 1.568233
Train Iter: 1520	Loss_d_metric: 1.529563
Train Iter: 1540	Loss_d_metric: 1.555359
Train Iter: 1560	Loss_d_metric: 1.540208
Train Iter: 1580	Loss_d_metric: 1.547050
Train Iter: 1600	Loss_d_metric: 1.527770
Train Iter: 1620	Loss_d_metric: 1.524927
Train Iter: 1640	Loss_d_metric: 1.532994
Train Iter: 1660	Loss_d_metric: 1.500110
Train Iter: 1680	Loss_d_metric: 1.516690
Train Iter: 1700	Loss_d_metric: 1.506909
Train Iter: 1720	Loss_d_metric: 1.508789
Train Iter: 1740	Loss_d_metric: 1.513878
Train Iter: 1760	Loss_d_metric: 1.466141
